1.4: Copy to Dataset Results,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Mean (T0S1R1) (mV)
57463-T295-SUB-0016.abf,4,21.0211,0.241551
57463-T296-SUB-0030.abf,4,21.0211,0.118328
57468-T302-SUB-0009.abf,4,21.0211,-0.558844
57468-T303-SUB-0020.abf,4,21.0211,-0.0516719
57468-T304-CA1-0030.abf,4,21.0211,0.336445
57468-T305-CA1-0041.abf,4,21.0211,0.0577993
57590-T259-CA1-0015.abf,4,21.0211,0.230084
57590-T260-SUB-0029.abf,4,21.0211,0.207402
57590-T261-CA1-0058.abf,4,21.0211,-1.91176
57930-T185-CA1-0005.abf,4,21.0211,0.432131
57930-T186-SUB-0016.abf,4,21.0211,0.352649
57930-T187-CA1-0026.abf,4,21.0211,0.050322
57930-T188-SUB-0036.abf,4,21.0211,0.245849
57930-T189-SUB-0046.abf,4,21.0211,-0.654537
57931-T190-CA1-0005.abf,4,21.0211,0.474008
57931-T192-SUB-0015.abf,4,21.0211,0.00520133
57931-T193-CA1-0049.abf,4,21.0211,-0.0494476
57931-T194-SUB-0040.abf,4,21.0211,-0.0198067
57934-T196-SUB-0005.abf,4,21.0211,0.116315
57934-T197-CA1-0015.abf,4,21.0211,-0.239402
58512-T316-SUB-0017.abf,4,21.0211,0.313144
58512-T319-CA1-0027.abf,4,21.0211,0.537935
58512-T321-CA1-0038.abf,4,21.0211,-0.251787
58516-T328-SUB-0006.abf,4,21.0211,0.202834
58516-T329-CA1-0023.abf,4,21.0211,-0.278909
58519-T330-SUB-0005.abf,4,21.0211,-0.807362
58519-T332-CA1-0018.abf,4,21.0211,-0.0946268
58519-T334-CA1-0027.abf,4,21.0211,-0.550075
58521-T337-SUB-0005.abf,4,21.0211,-0.410125
58521-T345-CA1-0015.abf,4,21.0211,-0.325178
58521-T346-SUB-0025.abf,4,21.0211,0.117738
58521-T347-SUB-0035.abf,4,21.0211,0.255162
58521-T348-CA1-0045.abf,4,21.0211,0.566019
53451-T145-CA1-0009.abf,4,21.0211,0.202792
53454-T146-CA1-0005.abf,4,21.0211,0.248074
53454-T147-SUB-0015.abf,4,21.0211,-0.215151
53454-T148-CA1-0025.abf,4,21.0211,0.517942
53471-T113-CA1-0011.abf,4,21.0211,0.0820818
53472-T114-SUB-0010.abf,4,21.0211,0.271006
53472-T115-CA1-0021.abf,4,21.0211,0.787509
53472-T117-SUB-0031.abf,4,21.0211,-0.194956
53472-T118-CA1-0041.abf,4,21.0211,-0.0770486
53472-T119-CA1-0051.abf,4,21.0211,0.259997
53477-T123-SUB-0005.abf,4,21.0211,-0.0149469
53477-T125-SUB-0015.abf,4,21.0211,0.518824
53478-T126-CA1-0027.abf,4,21.0211,0.0416435
53478-T127-SUB-0037.abf,4,21.0211,0.0465876
53612-T141-CA1-0007.abf,4,21.0211,0.198638
53612-T142-SUB-0019.abf,4,21.0211,0.231844
53612-T143-SUB-0030.abf,4,21.0211,-0.164001
54232-T130-CA1-0014.abf,4,21.0211,0.133346
54232-T131-SUB-0024.abf,4,21.0211,-0.867996
54233-T132-CA1-0005.abf,4,21.0211,-1.01318
54233-T134-SUB-0015.abf,4,21.0211,0.332324
54235-T136-CA1-0029.abf,4,21.0211,0.207966
54235-T137-SUB-0039.abf,4,21.0211,-0.145589
54235-T138-CA1-0050.abf,4,21.0211,-0.403566
54235-T139-SUB-0060.abf,4,21.0211,0.294867
61605-T351-SUB-0015.abf,4,21.0211,0.465132
61605-T353-SUB-0025.abf,,,-0.156519
61607-T355-CA1-0005.abf,4,21.0211,-0.503133
61607-T356-SUB-0019.abf,4,21.0211,0.325381
61607-T357-CA1-0038.abf,4,21.0211,-0.275998
61609-T358-SUB-0007.abf,4,21.0211,-0.994792
61609-T359-CA1-0034.abf,4,21.0211,0.133205
61609-T360-SUB-0044.abf,4,21.0211,-0.304174
61610-T361-CA1-0005.abf,4,21.0211,0.735657
61610-T362-SUB-0015.abf,4,21.0211,0.370777
61610-T363-SUB-0025.abf,4,21.0211,0.342618
61612-T365-CA1-0009.abf,4,21.0211,-1.86968
61612-T372-SUB-0019.abf,4,21.0211,0.0422872
61612-T373-SUB-0036.abf,4,21.0211,0.574467
61615-T374-CA1-0005.abf,4,21.0211,0.180804
61615-T375-SUB-0015.abf,4,21.0211,0.208556
61615-T376-CA1-0032.abf,4,21.0211,-0.488198
61615-T377-SUB-0045.abf,4,21.0211,-0.106765
61615-T378-SUB-0055.abf,4,21.0211,-0.463896
63963-T411-CA1-0006.abf,4,21.0211,0.429074
63963-T412-CA1-0020.abf,4,21.0211,0.735144
63963-T413-SUB-0028.abf,4,21.0211,1.05829
63963-T414-SUB-0038.abf,4,21.0211,0.0622043
63963-T415-SUB-0048.abf,4,21.0211,0.324229
63964-T416-SUB-0013.abf,4,21.0211,0.532689
63964-T417-SUB-0023.abf,4,21.0211,-0.607624
63964-T418-SUB-0039.abf,4,21.0211,0.532251
63964-T419-CA1-0049.abf,4,21.0211,0.434687
63965-T420-CA1-0005.abf,4,21.0211,0.0492405
63965-T421-CA1-0017.abf,4,21.0211,-0.59686
63965-T422-SUB-0033.abf,4,21.0211,0.436458
63965-T423-SUB-0044.abf,4,21.0211,0.886535
63965-T424-CA1-0054.abf,4,21.0211,0.455841
63966-T425-SUB-0008.abf,4,21.0211,0.198852
63966-T426-CA1-0021.abf,4,21.0211,0.802657
63966-T427-SUB-0036.abf,4,21.0211,0.45371
63966-T428-CA1-0047.abf,4,21.0211,-0.415755
63966-T429-SUB-0057.abf,4,21.0211,0.598473
63967-T430-SUB-0005.abf,4,21.0211,0.56188
63967-T431-SUB-0018.abf,4,21.0211,0.332543
63967-T432-CA1-0033.abf,4,21.0211,0.112023
63967-T433-SUB-0048.abf,4,21.0211,0.075663
63967-T434-CA1-0072.abf,4,21.0211,0.278193
63968-T435-CA1-0005.abf,4,21.0211,0.71595
63968-T436-CA1-0016.abf,4,21.0211,0.438059
63968-T437-SUB-0031.abf,4,21.0211,0.37632
63968-T438-SUB-0043.abf,4,21.0211,0.203879
63968-T439-SUB-0053.abf,4,21.0211,-0.118325
63969-T440-CA1-0005.abf,4,21.0211,0.412085
63969-T441-SUB-0018.abf,4,21.0211,0.419599
63969-T442-SUB-0032.abf,4,21.0211,-0.00231722
63969-T443-CA1-0044.abf,4,21.0211,0.491622
63970-T445-CA1-0005.abf,4,21.0211,-0.151325
63970-T446-SUB-0015.abf,4,21.0211,0.179749
63970-T447-SUB-0025.abf,4,21.0211,0.171292
63970-T448-CA1-0035.abf,4,21.0211,0.694406
63970-T449-SUB-0049.abf,,,-0.204934
63970-T450-SUB-0059.abf,4,21.0211,0.69568
63971-T451-SUB-0017.abf,4,21.0211,0.00982984
63971-T452-CA1-0027.abf,4,21.0211,0.520437
63971-T453-SUB-0041.abf,4,21.0211,-0.329778
63971-T454-CA1-0051.abf,4,21.0211,0.914711
63972-T455-SUB-0008.abf,4,21.0211,0.00864766
63972-T456-SUB-0022.abf,4,21.0211,-0.675522
63972-T457-CA1-0038.abf,4,21.0211,0.5504
63973-T458-SUB-0011.abf,4,21.0211,-0.0902875
63973-T459-SUB-0028.abf,4,21.0211,-0.397352
63973-T460-CA1-0038.abf,4,21.0211,-0.122219
63973-T461-SUB-0048.abf,4,21.0211,-0.00542739
63974-T462-SUB-0006.abf,4,21.0211,0.422656
63974-T463-CA1-0015.abf,4,21.0211,0.254306
63974-T464-SUB-0025.abf,4,21.0211,0.5699
63974-T465-CA1-0036.abf,4,21.0211,-0.144151
63974-T466-SUB-0047.abf,4,21.0211,-0.109685
63975-T467-SUB-0010.abf,4,21.0211,0.525243
63975-T468-SUB-0020.abf,4,21.0211,1.55346
63975-T469-CA1-0031.abf,4,21.0211,0.500526
63975-T470-CA1-0046.abf,4,21.0211,0.0400016
63976-T471-CA1-0015.abf,4,21.0211,0.915541
63976-T472-SUB-0037.abf,4,21.0211,0.000875982
63976-T473-CA1-0047.abf,4,21.0211,0.260239
63976-T474-SUB-0062.abf,4,21.0211,0.316911
