Cell ID,,,R1S1 mean
57451-T262-SUB-0001.abf,,,-40.55993652
57451-T264-SUB-0011.abf,,,-51.19724274
57451-T266-CA1-0023.abf,,,-54.20501709
57452-T263-Sub-0010.abf,,,-28.49044609
57452-T265-Sub-0022.abf,,,-47.15326309
57453-T268-SUB-0001.abf,,,-46.83747864
57453-T269-SUB-0021.abf,,,-60.1553421
57454-T267-Sub-0013.abf,,,-45.27542114
57455-T270-Sub-0004.abf,,,-38.05109406
57456-T272-SUB-0002.abf,,,-34.85583496
57457-T274-CA1-0001.abf,,,-15.4771347
57457-T277-CA1 (DG)-0010.abf,,,-25.34796524
57458-T273-CA1-0001.abf,,,-34.79169846
57458-T275-CA1-0013.abf,,,-47.32475662
57458-T276-SUB-0026.abf,,,-43.33959961
57458-T278-SUB-0036.abf,,,-54.31139755
57459-T279-Sub-0002.abf,,,-41.65014648
57459-T280-Sub-0011.abf,,,-37.17091751
57459-T281-Sub-0020.abf,,,-54.48205185
57460-T306-Sub-0005.abf,,,-44.66593552
57461-T282-Sub-0001.abf,,,-33.57217407
57461-T283-Sub-0010.abf,,,-34.19905853
57461-T284-Sub-0019.abf,,,-53.70262909
57461-T285-Sub-0028.abf,,,-38.84258652
57462-T287-SUB-0003.abf,,,-40.48765182
57462-T288-CA1-0015.abf,,,-48.332798
57462-T289-SUB-0026.abf,,,-48.39513779
57462-T290-CA1-0036.abf,,,-46.83600998
57462-T291-CA1-0047.abf,,,-49.70589828
57462-T292-SUB-0058.abf,,,-54.48850632
57463-T293-CA1-0001.abf,,,-50.03532791
57463-T295-SUB-0012.abf,,,-38.31711197
57463-T296-SUB-0026.abf,,,-43.45016098
57464-T201-Sub-0020.abf,,,8.908615112
57464-T286-Sub-0001.abf,,,8.745279312
57464-T294-Sub-0030.abf,,,-46.75667953
57465-T297-Sub-0003.abf,,,8.23009491
57465-T298-CA1-0014.abf,,,-46.66830826
57465-T299-Sub-0025.abf,,,-54.47774124
57465-T300-CA1-0035.abf,,,-48.81983948
57468-T302-SUB-0005.abf,,,-53.05308151
57468-T303-SUB-0016.abf,,,-57.89610291
57468-T304-CA1-0026.abf,,,-53.02294922
57468-T305-CA1-0037.abf,,,-32.23077393
57590-T260-SUB-0025.abf,,,-48.78922272
57590-T261-CA1-0054.abf,,,-57.33465576
57930-T185-CA1-0001.abf,,,-31.62078094
57930-T186-SUB-0012.abf,,,-40.7556076
57930-T187-CA1-0022.abf,,,-40.8555336
57930-T188-SUB-0032.abf,,,-52.79719925
57930-T189-SUB-0042.abf,,,-38.56354523
57931-T190-CA1-0001.abf,,,-35.061306
57931-T192-SUB-0011.abf,,,-40.97521973
57931-T193-CA1-0045.abf,,,-48.89597702
57931-T194-SUB-0036.abf,,,-42.63075638
57932-T191-CA1-0001.abf,,,-19.83215141
57933-T195-Sub-0013.abf,,,-47.36308289
57934-T196-SUB-0001.abf,,,-40.30167007
57934-T197-CA1-0011.abf,,,-49.61419678
57944-T251-Sub-0020.abf,,,-39.25203705
57944-T253-Sub-0029.abf,,,-44.31559372
57944-T255-Sub (probably not sub)-0040.abf,,,-32.85811615
57944-T301-Sub-0007.abf,,,-60.28965759
58512-T316-SUB-0013.abf,,,-57.15385437
58512-T319-CA1-0023.abf,,,-39.38022614
58512-T321-CA1-0033.abf,,,-59.21257401
58513-T317-Sub-0003.abf,,,-33.21498108
58513-T318-CA1-0012.abf,,,-46.52636719
58514-T320-CA1-0001.abf,,,-49.74501419
58514-T322-Sub-0011.abf,,,-32.26399612
58515-T323-CA1-0001.abf,,,-33.28409958
58515-T324-Sub-0010.abf,,,-27.79348564
58516-T328-SUB-0002.abf,,,-52.05699921
58516-T329-CA1-0019.abf,,,-48.03632736
58517-T325-Sub-0001.abf,,,-37.07537842
58517-T326-Sub-0010.abf,,,-45.11518478
58518-T327-CA1-0002.abf,,,2.185599327
58518-T331-Sub-0011.abf,,,-0.570732296
58518-T333-CA1-0020.abf,,,-25.50389099
58518-T335-Sub-0029.abf,,,-43.61693192
58519-T330-SUB-0001.abf,,,-52.37688828
58519-T332-CA1-0013.abf,,,-56.78414536
58519-T334-CA1-0023.abf,,,-47.04202271
58520-T336-Sub-0002.abf,,,-16.50598907
58521-T337-SUB-0001.abf,,,-56.37097931
58521-T345-CA1-0011.abf,,,-43.66231537
58521-T346-SUB-0021.abf,,,-45.68609619
58521-T347-SUB-0031.abf,,,-51.08004379
58521-T348-CA1-0041.abf,,,-40.44042206
58525-T338-CA1-0001.abf,,,-49.27846527
58525-T339-Sub-0021.abf,,,-52.68309021
58525-T340-CA1-0030.abf,,,-53.55474091
58525-T341-Sub-0038.abf,,,-56.47457504
58526-T342-Sub-0003.abf,,,-37.21783066
58526-T343-Sub-0015.abf,,,-38.85694885
58526-T344-Sub-0024.abf,,,-38.92476654
61064-T350-CA1-0001.abf,,,-35.24848175
61603-T368-Sub-0001.abf,,,-26.49107552
61603-T369-CA1-0001.abf,,,-46.81564713
61606-T352-Sub-0001.abf,,,-27.96949196
61606-T354-CA1-0001.abf,,,-25.67424202
61608-T370-Sub-0001.abf,,,-31.95601654
61608-T371-Sub-0001.abf,,,-44.78696442
61611-T364-Sub-0002.abf,,,-29.45261574
61611-T365-Sub-0001.abf,,,4.287437439
61611-T367-CA1-0001.abf,,,-28.09110069
62127-T349-Sub-0001.abf,,,-54.19543839
61605-T351-SUB-0011.abf,,,-50.97351837
61605-T353-SUB-0021.abf,,,-39.8817749
61607-T355-CA1-0001.abf,,,-36.48427963
61607-T356-SUB-0015.abf,,,-50.90707779
61607-T357-CA1-0034.abf,,,-47.55714417
61609-T358-SUB-0003.abf,,,-52.04455566
61609-T359-CA1-0030.abf,,,-39.46302032
61609-T360-SUB-0040.abf,,,-45.12635803
