1.4: Copy to Dataset Results,,,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Peak (T0S1R1) (mV),Time of Peak (Trace) (T0S1R1) (ms),Baseline (T0S1R1) (mV)
54264-T88-SUB-0006.abf,4,34.8211,-5.86549,1436.3,-60.2966
54265-T89-CA1-0008.abf,4,34.8211,-3.21175,1436.9,-60.7022
54265-T90-SUB-0019.abf,4,34.8211,-3.81047,1444.7,-60.0323
54265-T91-SUB-0030.abf,4,34.8211,-3.25794,1446.7,-60.3102
53116-T198-CA1-0006.abf,4,34.8211,-1.57748,1480.4,-61.9398
53116-T200-SUB-0016.abf,4,34.8211,0.108187,2317.2,-61.5096
53116-T202-SUB-0026.abf,4,34.8211,-4.26463,1406.1,-60.8599
53118-T203-SUB-0011.abf,4,34.8211,-0.385785,1452.4,-61.2699
53118-T204-SUB-0021.abf,4,34.8211,0.252,2174,-60.8599
53118-T205-CA1-0032.abf,4,34.8211,-0.417297,1979.8,-61.3198
53118-T206-CA1-0044.abf,4,34.8211,-0.364189,1596.6,-61.6577
53118-T207-CA1-0058.abf,4,34.8211,0.293751,2305.9,-61.217
53120-T210-SUB-0006.abf,4,34.8211,-2.39298,1434.3,-60.9412
53120-T213-CA1-0040.abf,4,34.8211,-1.88737,1432.9,-61.9859
53120-T215-CA1-0024.abf,4,34.8211,-0.0330645,2352.5,-62.1007
53120-T216-SUB-0034.abf,4,34.8211,-1.19048,1461.4,-60.6381
53122-T217-SUB-0006.abf,4,34.8211,-1.1376,1434.6,-61.4845
53122-T219-CA1-0016.abf,4,34.8211,-4.74882,1429.2,-60.3859
53122-T221-SUB-0030.abf,4,34.8211,-0.475344,1451.3,-61.2414
53122-T222-SUB-0040.abf,4,34.8211,-0.878884,1426.7,-60.7971
53122-T224-CA1-0052.abf,4,34.8211,-0.56078,1497.8,-61.6035
53124-T228-CA1-0012.abf,4,34.8211,-1.2816,1536.9,-60.8217
53125-T229-CA1-0009.abf,4,34.8211,-0.86112,1457.2,-60.7132
53125-T231-SUB-0016.abf,4,34.8211,-0.474764,1418.9,-60.5604
53125-T233-CA1-0026.abf,4,34.8211,-1.24593,1426.7,-61.5389
53125-T235-CA1-0036.abf,4,34.8211,-0.671149,2300,-61.9916
53125-T236-SUB-0046.abf,4,34.8211,0.143446,2301.9,-61.0362
53125-T238-SUB-0056.abf,4,34.8211,-2.83419,1457.4,-61.2426
53128-T239-SUB-0006.abf,4,34.8211,-4.56969,1422.4,-61.1143
53128-T241-CA1-0017.abf,4,34.8211,-3.9236,1424.5,-61.4959
53128-T242-SUB-0027.abf,4,34.8211,-1.08647,1448.3,-61.0473
53128-T244-CA1-0006.abf,4,34.8211,-2.48241,1448,-60.4652
53128-T245-SUB-0016.abf,4,34.8211,0.250903,2077.8,-61.0012
53177-T156-CA1-0007.abf,4,34.8211,-1.41662,1458.7,-59.5372
53177-T158-SUB-0017.abf,4,34.8211,-3.14954,1407,-60.9069
53177-T159-SUB-0027.abf,4,34.8211,-0.154399,2291.8,-61.013
53180-T164-SUB-0006.abf,4,34.8211,-0.770673,1436.2,-60.9766
53180-T165-SUB-0018.abf,4,34.8211,-1.06258,1454.5,-60.8983
53180-T166-CA1-0028.abf,4,34.8211,-4.14624,1422.4,-62.1074
53185-T167-SUB-0015.abf,4,34.8211,-1.47946,1424.3,-60.2271
53185-T169-CA1-0030.abf,4,34.8211,-1.87371,1423.6,-61.5622
53199-T171-CA1-0007.abf,4,34.8211,-0.0755581,2217.5,-61.5598
53199-T177-SUB-0018.abf,4,34.8211,-0.439183,1793.4,-61.1758
53199-T178-CA1-0006.abf,4,34.8211,-3.89035,1457.4,-60.6747
53199-T179-SUB-0016.abf,4,34.8211,-4.60022,1445.8,-59.7614
53202-T180-CA1-0014.abf,4,34.8211,-1.77428,1409.8,-61.0004
53202-T181-SUB-0042.abf,4,34.8211,-1.48455,1424.4,-60.1711
53446-T153-CA1-0006.abf,4,34.8211,-1.19152,1424.1,-61.4
53446-T155-SUB-0021.abf,4,34.8211,-1.80314,1455.6,-61.2869
54237-T149-CA1-0006.abf,4,34.8211,-4.14635,1445,-62.5447
54237-T150-SUB-0018.abf,4,34.8211,-4.54337,1462.8,-61.4763
54237-T151-SUB-0028.abf,4,34.8211,-5.76802,1465.4,-61.0044
54237-T152-CA1-0042.abf,4,34.8211,-0.462913,2122.7,-60.5722
57443-T247-SUB-0034.abf,4,34.8211,0.20836,2345.1,-60.6433
57443-T248-SUB-0044.abf,4,34.8211,0.090114,2308.5,-61.0032
57443-T249-CA1-0054.abf,4,34.8211,0.705347,2328.5,-60.8453
57445-T250-SUB-0008.abf,4,34.8211,-1.15696,1457.8,-60.7734
57445-T252-CA1-0018.abf,4,34.8211,-2.36417,1419.8,-60.7564
57445-T254-SUB-0032.abf,4,34.8211,-0.680121,2056.7,-61.6063
57451-T262-SUB-0006.abf,4,34.8211,-6.06655,1430.8,-60.065
57451-T264-SUB-0016.abf,4,34.8211,-2.8657,1427.6,-61.7705
57451-T266-CA1-0028.abf,4,34.8211,-3.60942,1420.9,-61.5354
57453-T268-SUB-0006.abf,4,34.8211,-3.55606,1393.5,-61.2531
57453-T269-SUB-0026.abf,4,34.8211,-2.50952,1425.3,-61.0891
57456-T272-SUB-0007.abf,4,34.8211,-0.411704,2025.2,-61.071
57458-T273-CA1-0006.abf,4,34.8211,-3.3463,1409.6,-59.0418
57458-T275-CA1-0018.abf,4,34.8211,-0.791496,1483.7,-62.4511
57458-T276-SUB-0031.abf,4,34.8211,-0.100292,2143.8,-61.179
57458-T278-SUB-0041.abf,4,34.8211,-2.29511,1420.2,-61.0187
57462-T287-SUB-0008.abf,4,34.8211,-0.869311,2031.8,-60.5931
57462-T288-CA1-0020.abf,4,34.8211,-1.69284,1464.4,-60.9089
57462-T289-SUB-0031.abf,4,34.8211,-7.61305,1431.6,-61.1634
57462-T290-CA1-0041.abf,4,34.8211,-0.212662,2223.9,-61.0972
57462-T291-CA1-0052.abf,4,34.8211,0.271375,2269.2,-61.6931
57462-T292-SUB-0063.abf,4,34.8211,-3.13282,1440.6,-60.8015
57463-T293-CA1-0006.abf,4,34.8211,-2.56613,1424.2,-61.3173
57463-T295-SUB-0017.abf,4,34.8211,-0.697629,1420.5,-59.8187
57463-T296-SUB-0031.abf,4,34.8211,-1.89342,1446.5,-60.5964
57468-T303-SUB-0021.abf,4,34.8211,-4.60079,1446.6,-60.7373
57468-T304-CA1-0031.abf,4,34.8211,-2.70108,1395.8,-60.9281
57468-T305-CA1-0042.abf,4,34.8211,-3.47847,1424,-57.9229
57590-T259-CA1-0016.abf,4,34.8211,-1.78652,1452.7,-60.7847
57590-T260-SUB-0030.abf,4,34.8211,-0.0120433,2278.3,-61.1452
57590-T261-CA1-0059.abf,4,34.8211,-7.0755,1441.4,-61.2432
57930-T185-CA1-0006.abf,4,34.8211,-0.994494,1445.7,-60.9053
57930-T186-SUB-0017.abf,4,34.8211,-1.51354,1433.1,-58.8299
57930-T187-CA1-0027.abf,4,34.8211,-0.107748,2176.3,-61.1309
57930-T188-SUB-0037.abf,4,34.8211,-2.90595,1458.4,-60.6825
57930-T189-SUB-0047.abf,4,34.8211,-3.92463,1431.9,-62.0544
57931-T190-CA1-0006.abf,4,34.8211,-1.17675,1417,-60.4077
57931-T192-SUB-0016.abf,4,34.8211,-1.40345,1470.9,-61.4424
57931-T193-CA1-0050.abf,4,34.8211,-1.75877,1401.7,-63.0809
57931-T194-SUB-0041.abf,4,34.8211,-0.605094,1410.6,-59.6264
57934-T196-SUB-0006.abf,4,34.8211,-2.88001,1408.9,-61.3086
57934-T197-CA1-0016.abf,4,34.8211,-3.08823,1425.9,-60.7647
58512-T316-SUB-0018.abf,4,34.8211,-1.92458,1464.7,-59.7108
58512-T319-CA1-0028.abf,4,34.8211,-0.995191,1442.6,-60.3553
58512-T321-CA1-0039.abf,4,34.8211,-2.6191,1432.7,-60.9083
58516-T328-SUB-0007.abf,4,34.8211,-5.48146,1493.4,-59.7041
58516-T329-CA1-0024.abf,4,34.8211,-4.60464,1430.5,-60.8657
58519-T330-SUB-0006.abf,4,34.8211,-3.43351,1490,-61.1722
58519-T332-CA1-0019.abf,4,34.8211,-0.7064,1413.8,-60.2474
58519-T334-CA1-0028.abf,4,34.8211,-2.08753,1410.6,-61.2873
58521-T337-SUB-0006.abf,4,34.8211,-5.07675,1441.2,-61.5126
58521-T345-CA1-0016.abf,4,34.8211,-1.16876,1417.9,-62.9792
58521-T346-SUB-0026.abf,4,34.8211,-2.70742,1432.4,-61.9186
58521-T347-SUB-0036.abf,4,34.8211,-1.23755,2319.6,-60.1231
58521-T348-CA1-0046.abf,4,34.8211,0.0884364,2361.3,-61.2457
53451-T145-CA1-0010.abf,4,34.8211,-0.128909,2288.2,-61.6488
53454-T146-CA1-0006.abf,4,34.8211,-3.13118,1443.5,-61.5559
53454-T147-SUB-0016.abf,4,34.8211,-6.25811,1437.1,-61.8876
53454-T148-CA1-0026.abf,4,34.8211,-0.391008,1425.3,-61.0002
53471-T113-CA1-0012.abf,4,34.8211,-0.987412,1493.3,-60.4241
53472-T114-SUB-0011.abf,4,34.8211,-0.31308,2360.4,-60.5593
53472-T115-CA1-0022.abf,4,34.8211,-1.07765,1463.9,-60.8629
53472-T117-SUB-0032.abf,4,34.8211,-1.64502,1431.8,-61.4857
53472-T118-CA1-0042.abf,4,34.8211,-1.34644,1457.4,-61.1536
53472-T119-CA1-0052.abf,4,34.8211,-3.67051,1439.1,-60.9861
53477-T123-SUB-0006.abf,4,34.8211,-5.38992,1446.6,-62.0539
53477-T125-SUB-0016.abf,4,34.8211,0.385195,2247,-60.8914
53478-T126-CA1-0028.abf,4,34.8211,-3.04761,1424.2,-61.4462
53478-T127-SUB-0038.abf,4,34.8211,-2.72563,1451.2,-61.3308
53612-T141-CA1-0008.abf,4,34.8211,0.238669,2283.9,-61.1619
53612-T142-SUB-0020.abf,4,34.8211,-3.3723,1431.2,-60.9486
53612-T143-SUB-0031.abf,4,34.8211,-1.10018,1416.4,-60.9014
54232-T130-CA1-0015.abf,4,34.8211,-4.01173,1460.1,-61.9062
54232-T131-SUB-0025.abf,4,34.8211,-6.12935,1465,-61.5993
54233-T132-CA1-0006.abf,4,34.8211,-9.72921,1428.4,-61.0919
54233-T134-SUB-0016.abf,4,34.8211,0.121909,2359.9,-61.2995
54235-T136-CA1-0030.abf,4,34.8211,-3.41621,1465.3,-61.0267
54235-T137-SUB-0040.abf,4,34.8211,-3.04133,1456.1,-61.2083
54235-T138-CA1-0051.abf,4,34.8211,-3.19907,1465.6,-60.9489
54235-T139-SUB-0061.abf,4,34.8211,-4.82824,1455.1,-61.1406
61605-T351-SUB-0016.abf,4,34.8211,-0.336258,1463.6,-61.0041
61605-T353-SUB-0026.abf,4,34.8211,-2.7767,1435.1,-58.706
61607-T355-CA1-0006.abf,4,34.8211,-1.04534,1815.9,-60.8036
61607-T356-SUB-0020.abf,4,34.8211,-3.56039,1478.9,-60.1196
61607-T357-CA1-0039.abf,4,34.8211,-3.48724,1398.9,-61.21
61609-T358-SUB-0008.abf,4,34.8211,-7.47565,1454.8,-62.0841
61609-T359-CA1-0035.abf,4,34.8211,-1.04198,1428.6,-60.6646
61609-T360-SUB-0045.abf,4,34.8211,-4.50093,1446.1,-60.7965
61610-T361-CA1-0006.abf,4,34.8211,0.466021,2362.8,-61.0638
61610-T362-SUB-0016.abf,4,34.8211,0.340267,1652.4,-61.0804
61610-T363-SUB-0026.abf,4,34.8211,0.0443059,2252,-61.3439
61612-T365-CA1-0010.abf,4,34.8211,-7.77318,1433.9,-60.6371
61612-T372-SUB-0021.abf,4,34.8211,-5.01676,1475.4,-60.8503
61612-T373-SUB-0037.abf,4,34.8211,0.614338,2162.9,-60.205
61615-T374-CA1-0006.abf,4,34.8211,-4.02706,1480.6,-62.2978
61615-T375-SUB-0016.abf,4,34.8211,-0.332623,2262.2,-61.6791
61615-T376-CA1-0033.abf,4,34.8211,-1.39751,2125.8,-60.9804
61615-T377-SUB-0046.abf,4,34.8211,-1.70963,1439.7,-60.8005
61615-T378-SUB-0056.abf,4,34.8211,-2.20764,1508.1,-61.5639
63963-T411-CA1-0007.abf,4,34.8211,-0.418324,2313.3,-59.6403
63963-T412-CA1-0021.abf,4,34.8211,-0.786458,1462.9,-57.909
63963-T413-SUB-0029.abf,4,34.8211,0.266499,2230.6,-61.0575
63963-T414-SUB-0039.abf,4,34.8211,-0.313467,2009.5,-60.9963
63963-T415-SUB-0049.abf,4,34.8211,0.0564229,2355.5,-61.1323
63964-T416-SUB-0014.abf,4,34.8211,-0.00332602,1419.3,-60.5842
63964-T417-SUB-0024.abf,4,34.8211,-0.198325,2113.2,-60.7351
63964-T418-SUB-0040.abf,4,34.8211,0.549374,2309.8,-61.2081
63964-T419-CA1-0050.abf,4,34.8211,-0.156842,2284.7,-60.9292
63965-T420-CA1-0006.abf,4,34.8211,0.247777,2202.5,-61.1507
63965-T421-CA1-0018.abf,4,34.8211,0.0405376,2241,-59.794
63965-T422-SUB-0034.abf,4,34.8211,0.358702,2340.3,-60.0511
63965-T423-SUB-0045.abf,4,34.8211,0.816029,2296,-60.722
63965-T424-CA1-0055.abf,4,34.8211,0.457708,2334,-60.4858
63966-T425-SUB-0009.abf,4,34.8211,0.578432,2353,-59.5893
63966-T426-CA1-0022.abf,4,34.8211,0.728621,2333.8,-60.9296
63966-T427-SUB-0037.abf,4,34.8211,0.511297,2351.1,-60.6818
63966-T428-CA1-0048.abf,4,34.8211,-5.34336,1456.4,-59.8727
63966-T429-SUB-0058.abf,4,34.8211,-0.209367,2225.9,-60.6935
63967-T430-SUB-0006.abf,4,34.8211,0.789747,2173,-61.1433
63967-T431-SUB-0019.abf,4,34.8211,0.0877895,2316.7,-60.2176
63967-T432-CA1-0034.abf,4,34.8211,0.155979,2209,-59.8484
63967-T433-SUB-0049.abf,4,34.8211,-0.761306,2343.9,-60.2637
63967-T434-CA1-0073.abf,4,34.8211,0.142912,2290.7,-60.7915
63968-T435-CA1-0006.abf,4,34.8211,-0.313039,2287.3,-60.5594
63968-T436-CA1-0017.abf,4,34.8211,0.53132,2361.9,-60.8951
63968-T437-SUB-0032.abf,4,34.8211,0.289401,2315.5,-60.2259
63968-T438-SUB-0044.abf,4,34.8211,0.475347,2357.2,-60.5746
63968-T439-SUB-0055.abf,4,34.8211,-3.22765,1487.1,-59.9132
63969-T440-CA1-0006.abf,4,34.8211,-0.0412862,2315.3,-60.4547
63969-T441-SUB-0019.abf,4,34.8211,0.45512,2360.9,-60.5747
63969-T442-SUB-0033.abf,4,34.8211,-1.07173,2241.8,-60.177
63969-T443-CA1-0045.abf,4,34.8211,0.256554,2341.9,-60.9052
63970-T445-CA1-0006.abf,4,34.8211,-0.78443,2358.1,-60.0778
63970-T446-SUB-0016.abf,4,34.8211,0.465856,1456.5,-60.9924
63970-T447-SUB-0026.abf,4,34.8211,-0.967408,1505.2,-60.5662
63970-T448-CA1-0036.abf,4,34.8211,0.069347,2314.1,-60.7078
63970-T449-SUB-0050.abf,4,34.8211,-0.2038,1852,-60.3939
63970-T450-SUB-0060.abf,4,34.8211,-2.1946,1443,-60.5597
63971-T451-SUB-0018.abf,4,34.8211,-4.0362,1464.4,-60.3355
63971-T452-CA1-0028.abf,4,34.8211,0.858825,2124.2,-59.9917
63971-T453-SUB-0042.abf,4,34.8211,-4.37224,1471.9,-60.264
63971-T454-CA1-0052.abf,4,34.8211,-0.838681,2246.3,-60.9798
63972-T455-SUB-0009.abf,4,34.8211,-0.204996,1745.2,-60.3114
