1.4: Copy to Dataset Results,,,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Baseline (T0S1R1) (mV),Antipeak Amp (T0S1R1) (mV),Time of Antipeak (Trace) (T0S1R1) (ms)
58520-T336-Sub-0006.abf,4,21.0211,-60.755,-1.57203,1250.7
58525-T338-CA1-0005.abf,4,21.0211,-59.2796,-0.809476,1298.5
58525-T339-Sub-0025.abf,4,21.0211,-60.7587,-1.60903,451
58525-T340-CA1-0034.abf,4,21.0211,-58.709,-0.566318,485.7
58525-T341-Sub-0042.abf,4,21.0211,-60.1967,-3.43245,437.7
58526-T342-Sub-0007.abf,4,21.0211,-60.8145,0.216766,528.1
58526-T343-Sub-0019.abf,4,21.0211,-60.6007,0.318306,1326.2
58526-T344-Sub-0028.abf,4,21.0211,-60.2258,-0.148105,1367.9
61064-T350-CA1-0005.abf,4,21.0211,-61.4631,-0.36556,492.5
61603-T368-Sub-0005.abf,4,21.0211,-59.2949,-1.47578,988.1
61603-T369-CA1-0005.abf,4,21.0211,-57.5727,-0.746351,1156.6
61606-T352-Sub-0005.abf,4,21.0211,-60.5684,-3.43711,549.1
61606-T354-CA1-0005.abf,4,21.0211,-60.0323,-0.463754,1335.5
61608-T370-Sub-0007.abf,4,21.0211,-60.5111,-3.68767,513.1
61608-T371-Sub-0005.abf,4,21.0211,-60.6144,-3.64546,507.4
61611-T364-Sub-0006.abf,4,21.0211,-59.4404,-1.46253,595.1
61611-T365-Sub-0006.abf,4,21.0211,-60.3262,-0.576716,1368.6
61611-T367-CA1-0005.abf,4,21.0211,-60.5753,-0.836289,450
62127-T349-Sub-0005.abf,4,21.0211,-60.2718,-1.28212,1335.8
53455-T92-CA1-0006.abf,4,21.0211,-60.1534,-0.596929,497.6
53455-T93-SUB-0016.abf,4,21.0211,-60.7806,-1.11924,458.4
53459-T100-SUB-0036.abf,4,21.0211,-60.037,-1.1304,496
53459-T97-CA1-0005.abf,4,21.0211,-61.0194,0.30977,1381.8
53459-T98-SUB-0016.abf,4,21.0211,-60.9874,-2.1331,473.8
53459-T99-CA1-0026.abf,4,21.0211,-60.5805,-1.8381,482.7
53460-T101-CA1-0006.abf,4,21.0211,-61.6725,-1.4887,499.7
