"Animal_ID","AM_PM","Sex","Line","Birth_Date","Animal_Info","CFC.baseline","CFC.PS1","CFC.PS2","CFC.PS3","CFC.PS4","CFA.Total","Train_threshold","Train_bout","Train_assay","Train_date","Age_at_Test","Age_Months","CFM.Bin1","CFM.Bin2","CFM.Bin3","CFM.Bin4","CFM.Bin5","CFM.Total","Test_threshold","Test_bout","Test_assay","Test_date"
53155,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53155_Pen15379_Ear2L",0.83,5,0,10.56,12.42,13.29,12.4,1,"CFC_Train","2023-07-17",6.40604467805519,6,45.83,34.51,36.25,37.84,27.97,36.43,12.5,1,"CFC_Test","2023-07-17"
53156,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53156_Pen15379_Ear2R1L",0.67,0,0,9.94,3.12,4.21,11.7,1,"CFC_Train","2023-07-17",6.40604467805519,6,4.99,4.16,5.41,5.21,1.67,4.29,18.2,1,"CFC_Test","2023-07-18"
53157,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53157_Pen15379_Ear2L",2.33,13.75,24.37,55.35,39.13,34.86,10.5,1,"CFC_Train","2023-07-18",6.4388961892247,6,82.74,78.79,43.12,54.68,56.67,63.25,7,1,"CFC_Test","2023-07-19"
53158,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53158_Pen15379_Ear2B",0,0,10,26.71,23.6,23.62,13.6,1,"CFC_Train","2023-07-19",6.47174770039422,6,88.75,99.38,77.92,73.54,94.79,86.87,5.5,1,"CFC_Test","2023-07-20"
53159,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53159_Pen15379_Ear3R",0,0,0,0,5.59,5.14,12.8,1,"CFC_Train","2023-07-20",6.50459921156373,7,14.35,16.46,30,1.67,8.56,14.21,12.1,1,"CFC_Test","2023-07-21"
53160,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53160_Pen15380_EarN",0,0,10,19.88,46.25,27.08,10.37,1,"CFC_Train","2023-07-24",6.63600525624179,7,43.12,79,60.21,52.92,27.92,52.62,10.9,1,"CFC_Test","2023-07-25"
53161,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53161_Pen53180_EarR",0,0,0,21.87,3.75,10.65,10.78,1,"CFC_Train","2023-07-24",6.63600525624179,7,37.21,60.91,67.98,72.08,63.47,60.32,10.7,1,"CFC_Test","2023-07-25"
53162,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53162_Pen15380_EarL",0.83,0,0,0,29.19,8.4,10.9,1,"CFC_Train","2023-07-25",6.6688567674113,7,44.91,47.08,41.25,11.87,11.27,31.29,14.9,1,"CFC_Test","2023-07-26"
53163,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53163_Pen15380_EarB",1.66,0,8.12,0,15.53,18,11.3,1,"CFC_Train","2023-07-26",6.70170827858081,7,31.46,67.78,80.67,56.76,44.47,56.23,13.2,1,"CFC_Test","2023-07-27"
53164,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53164_Pen15380_EAr2R",0,3.11,26.87,22.98,49.69,34,10.4,1,"CFC_Train","2023-07-27",6.73455978975033,7,50.94,73.8,70.69,88.96,70.77,71.03,18.1,1,"CFC_Test","2023-07-28"
53165,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53165_Pen15381_Ear2L",0.67,0,4.35,5.59,43.48,15.04,11.7,1,"CFC_Train","2023-07-31",6.86596583442838,7,28.75,31.46,44.07,21.25,20.62,29.21,11.2,1,"CFC_Test","2023-08-01"
53166,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53166_Pen15381_Ear2R1L",0,0,2.48,13.66,33.54,22.69,16.8,NA,"CFC_Train","2023-07-31",6.86596583442838,7,21.62,49.9,59.67,51.14,48.64,46.23,11.4,1,"CFC_Test","2023-08-01"
53167,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53167_Pen15381_Ear1r2L",0,9.32,2.5,18.63,48.45,29.25,12.8,1,"CFC_Train","2023-08-01",6.8988173455979,7,43.54,65.21,64.66,59.46,73.33,61.21,12.5,1,"CFC_Test","2023-08-02"
53168,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53168_Pen15381_Ear2B",0.83,3.12,22.98,52.8,39.37,32.68,10.9,1,"CFC_Train","2023-08-02",6.93166885676741,7,33.96,70.21,52.71,24.32,21.71,40.56,10.6,1,"CFC_Test","2023-08-03"
53169,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53169_Pen15831_Ear3R",0.67,0,6.21,3.11,15.62,15.55,10,1,"CFC_Train","2023-08-03",6.96452036793692,7,21.41,44.49,13.93,17.92,0.84,19.76,14.9,1,"CFC_Test","2023-08-04"
53170,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53170_Pen15382_EarN",25.83,30.63,17.39,47.83,0,26.72,5.79,1,"CFC_Train","2024-06-17",26.6425755584757,27,29.94,36.38,33.12,17.92,27.77,29.04,5.57,1,"CFC_Test","2024-06-18"
53171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.29,58.75,67.78,51.04,40,50.96,10.21,1,"CFC_Test","2023-08-08"
53173,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53173_Pen15382_EarB",0,0,16.77,22.98,33.75,28.89,13.95,1,"CFC_Train","2024-06-18",26.6754270696452,27,43.87,82.92,59.88,56.13,48.02,58.11,2.5,NA,"CFC_Test","2024-06-18"
53174,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53174_Pen15382_Ear2R",0,0,3.11,2.48,52.17,25.64,4.5,1,"CFC_Train","2024-05-14",25.5256241787122,26,39.71,75.42,76.46,60.29,52.82,60.9,4.57,1,"CFC_Test","2024-05-15"
53177,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53177_Pen15383_Ear1R2L",1.83,57.76,80.75,69.57,19.25,47.25,6.43,NA,"CFC_Train","2024-05-14",25.5256241787122,26,11.43,59.17,49.58,31.81,57.41,41.89,10.17,NA,"CFC_Test","2024-05-15"
53178,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53178_Pen15383_Ear2B",0,0,32.5,28.75,50,28.07,11.19,1,"CFC_Train","2024-05-15",25.5584756898817,26,20.62,43.12,31.6,24.12,28.54,29.62,6.47,1,"CFC_Test","2024-05-16"
53179,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53179_Pen15383_Ear3R",3.33,7.45,11.18,43.12,40.37,29.64,10.31,1,"CFC_Train","2024-05-15",25.5584756898817,26,16.42,61.75,39.58,61.12,45.21,44.83,15.43,1,"CFC_Test","2024-05-16"
53180,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53180_Pen15384_EarN",0,16.87,26.09,17.5,60.62,18.11,5.92,1,"CFC_Train","2024-05-28",25.9855453350854,26,22.45,37.92,31.6,43.33,12.73,29.62,8.57,1,"CFC_Test","2024-05-29"
53181,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53181_Pen15384_EarR",8.65,18.12,68.32,63.12,73.75,49.07,5.29,NA,"CFC_Train","2024-05-28",25.9855453350854,26,54.89,78.33,82.33,73.75,52.61,68.37,15.96,NA,"CFC_Test","2024-05-29"
53183,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53183_Pen15384_EarB",0.83,4.35,16.77,33.12,13.66,20.07,4.93,1,"CFC_Train","2024-05-29",26.0183968462549,26,29.73,49.79,44.79,48.12,31.67,40.79,5.79,1,"CFC_Test","2024-05-30"
53184,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53184_Ear2R_Pen15384",0.67,0,14.47,24.37,51.88,20.11,7.53,1,"CFC_Train","2024-05-30",26.0512483574244,26,42.83,62.29,41.67,64.03,47.08,51.62,4.82,1,"CFC_Test","2024-05-31"
53185,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53185_Pen15385_Ear2L",6.82,26.71,71.25,68.94,73.91,51.52,5.05,1,"CFC_Train","2024-06-03",26.1826544021025,26,63.41,35.34,42.92,16.46,28.6,37.37,9.71,1,"CFC_Test","2024-06-04"
53186,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53186_Pen15385_Ear2R1L",6.49,25.47,63.12,49.69,79.5,51.66,12.96,NA,"CFC_Train","2024-06-03",26.1826544021025,26,42,69.85,80.21,34.58,76.83,60.67,12.9,NA,"CFC_Test","2024-06-04"
53195,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53195_Pen15387_Ear2L",13.98,14.91,52.5,67.7,51.88,56.29,8.5,1,"CFC_Train","2024-06-04",26.215505913272,26,44.58,75.21,56.55,88.33,67.29,66.37,10.33,1,"CFC_Test","2024-06-05"
53196,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53196_Pen15387_Ear2R1L",0,11.25,45,6.88,23.12,23.11,5.42,1,"CFC_Train","2024-06-05",26.2483574244415,26,26.61,20.79,12.89,19.37,6.46,17.21,6.67,1,"CFC_Test","2024-06-06"
53198,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53198_Pen15387_Ear2B",3.83,2.5,13.04,42.86,34.16,25.69,10.92,1,"CFC_Train","2024-06-10",26.4126149802891,26,22.04,39.79,43.66,42.62,50.1,39.62,11.67,1,"CFC_Test","2024-06-11"
53199,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53199_Pen15387_Ear3R",0.67,6.88,39.75,48.45,34.78,36.76,11.67,NA,"CFC_Train","2024-06-10",26.4126149802891,26,40.96,39.58,47.61,54.26,30.69,42.67,12.67,NA,"CFC_Test","2024-06-11"
53202,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53202_Pen15388_EarL",0.67,16.77,46.25,50.93,66.25,40.98,10.98,1,"CFC_Train","2024-06-11",26.4454664914586,26,25.99,61.25,69.79,37.84,54.49,49.9,4.14,1,"CFC_Test","2024-06-12"
53203,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53203_Pen15388_EarB",3.83,32.3,6.25,42.24,67.08,35.86,5.36,1,"CFC_Train","2024-06-12",26.4783180026281,26,58.63,86.87,86.46,68.75,36.74,67.5,3.64,1,"CFC_Test","2024-06-13"
53206,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53206_Ear2R1L_Pen15389",4.33,31.25,27.5,32.3,55.28,35.18,8.5,1,"CFC_Train","2024-09-03",29.2049934296978,29,47.92,35.97,28.96,42.62,31.04,37.25,4.2,1,"CFC_Test","2024-09-04"
53208,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53208_Ear2B_Pen15389",13.33,88.2,62.73,65.84,67.7,54,9,1,"CFC_Train","2024-09-04",29.2378449408673,29,30.56,56.96,37.08,55.09,45.93,45.12,10,1,"CFC_Test","2024-09-05"
53209,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-03-29","53209_Ear3R_Pen15389",3,33.75,70.62,42.24,72.05,48.05,9,1,"CFC_Train","2024-09-09",29.4021024967148,29,30.98,58,65.28,44.37,60.96,51.88,10.8,1,"CFC_Test","2024-09-10"
53440,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-04-12","53440_Pen15468_EarN",5.32,21.87,51.88,73.12,80.62,52.39,5.16,1,"CFC_Train","2024-04-23",24.3758212877792,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53441,NA,"Female","(CByB6F1/J x C3D2F1/J)/J","2022-04-12","53441_Pen15468_EarR",7.67,33.12,39.37,57.14,50.31,40.71,7.21,1,"CFC_Train","2024-04-24",24.4086727989487,24,84.62,93.75,87.53,93.96,89.98,89.96,3.57,1,"CFC_Test","2024-04-24"
53446,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-04-12","53446_Pen15469_Ear2R1L",0,0,0,52.5,5.62,23.39,5.69,NA,"CFC_Train","2024-05-13",25.0328515111695,25,8.11,48.23,58.75,49.79,13.78,35.76,8.19,NA,"CFC_Test","2024-05-14"
53450,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-04-12","53450_Pen15470_EarN",8.15,27.5,31.87,53.75,75.78,44.59,10,1,"CFC_Train","2024-05-01",24.6386333771353,25,66.04,53.54,59.46,76.04,37.58,58.52,8,1,"CFC_Test","2024-05-02"
53451,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-04-12","53451_EarR_Pen15470",1.66,0,0,34.16,28.12,29.18,8.08,1,"CFC_Train","2024-05-02",24.6714848883049,25,25.57,43.45,56.13,37.29,60.75,44.56,9,1,"CFC_Test","2024-05-03"
53452,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-04-12","53452_Pen15470_EarL",5,1.86,9.37,19.25,39.13,24.96,5.32,1,"CFC_Train","2024-05-06",24.8028909329829,25,34.3,22.08,36.25,45.83,27.97,33.29,8,1,"CFC_Test","2024-05-07"
53453,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2022-04-12","53453_Pen15470_EarB",8.83,31.06,25.62,20.5,29.81,32.04,8.55,NA,"CFC_Train","2024-05-06",24.8028909329829,25,24.32,48.12,56.04,40,53.65,44.42,11.33,NA,"CFC_Test","2024-05-07"
